order_item_id,order_id,product_id,quantity,unit_price
1,25,57,5,1027.01
2,142,36,2,967.66
3,338,101,2,982.42
4,30,8,5,916.11
5,214,57,4,1439.06
6,93,45,4,767.43
7,560,66,3,1101.16
8,38,31,3,1061.12
9,90,80,2,362.04
10,118,47,4,432.13
11,90,23,2,641.79
12,342,24,5,423.77
13,219,84,1,556.45
14,548,32,3,592.53
15,157,37,2,909.76
16,323,76,4,337.64
17,397,40,4,1208.39
18,376,47,5,661.93
19,478,30,4,1062.3
20,122,42,2,131.35
21,305,84,2,710.25
22,481,65,5,52.05
23,518,120,3,1017.11
24,371,93,1,522.13
25,392,3,5,1424.39
26,519,46,4,492.95
27,375,35,1,850.07
28,570,71,4,393.51
29,77,32,4,933.97
30,209,116,4,705.89
31,68,36,5,562.24
32,55,63,3,313.5
33,284,15,3,176.17
34,136,110,4,188.62
35,245,110,1,1498.57
36,263,96,1,624.34
37,373,43,5,12.88
38,568,8,2,1429.86
39,510,86,3,39.77
40,227,52,2,633.69
41,196,119,2,1079.04
42,463,84,3,1372.75
43,75,65,5,1072.2
44,325,119,3,700.8
45,254,97,1,1461.92
46,110,56,2,68.59
47,370,3,1,1480.47
48,193,12,5,1275.59
49,112,54,2,1394.11
50,392,68,2,389.61
51,105,4,1,222.26
52,404,16,3,998.34
53,98,85,5,778.63
54,261,91,3,789.52
55,485,4,4,1387.68
56,138,61,1,933.92
57,461,10,1,473.49
58,434,87,4,606.1
59,542,101,1,208.91
60,102,105,3,296.55
61,430,72,2,223.59
62,563,76,1,1217.33
63,458,112,3,1060.26
64,113,74,5,800.21
65,494,54,1,567.81
66,65,91,5,1006.06
67,354,71,3,1221.23
68,299,102,4,1323.04
69,319,63,1,825.05
70,312,105,5,1231.63
71,19,6,1,771.85
72,305,5,5,717.05
73,563,12,4,1299.49
74,263,67,2,585.7
75,167,86,1,599.91
76,597,26,4,464.32
77,60,19,1,782.87
78,292,104,4,821.83
79,308,91,4,994.09
80,287,78,2,651.45
81,554,59,2,334.58
82,254,51,2,1301.59
83,584,3,2,525.54
84,41,23,1,1385.19
85,441,108,2,318.96
86,356,41,4,844.49
87,145,85,2,809.56
88,137,85,4,1244.69
89,432,38,5,216.89
90,383,25,4,1365.81
91,367,84,3,801.83
92,31,12,2,883.3
93,359,60,5,770.15
94,589,107,2,63.68
95,11,86,3,750.67
96,282,92,3,402.69
97,297,10,4,520.61
98,539,24,3,977.16
99,170,34,4,751.57
100,286,36,5,148.9
101,431,24,2,118.83
102,37,117,5,286.63
103,481,20,1,294.42
104,494,85,5,916.37
105,432,71,1,274.94
106,389,74,5,1323.76
107,449,26,2,322.54
108,470,37,5,145.79
109,543,73,1,1314.86
110,257,36,3,450.04
111,274,84,5,643.88
112,383,5,1,1438.95
113,116,9,2,1417.11
114,514,88,1,1075.23
115,463,75,2,112.72
116,379,6,2,894.08
117,181,108,4,1483.73
