order_id,customer_id,order_date,status
1,185,2024-08-26,cancelado
2,198,2023-01-08,pago
3,192,2023-01-23,pago
4,112,2024-05-24,cancelado
5,41,2023-08-18,cancelado
6,168,2023-11-29,finalizado
7,161,2023-10-01,finalizado
8,199,2023-09-19,finalizado
9,131,2024-08-24,finalizado
10,29,2023-03-02,enviado
11,101,2024-05-09,pago
12,90,2024-07-23,pago
13,169,2024-02-25,pago
14,79,2023-09-10,cancelado
15,66,2023-04-13,cancelado
16,17,2024-03-12,finalizado
17,168,2023-10-28,novo
18,152,2023-04-06,enviado
19,9,2023-08-19,pago
20,87,2024-09-07,finalizado
21,96,2023-06-19,pago
22,94,2023-04-25,novo
23,184,2024-03-12,enviado
24,31,2023-05-08,finalizado
25,62,2024-08-11,finalizado
26,37,2024-07-03,novo
27,49,2024-09-21,pago
28,182,2024-08-07,novo
29,189,2023-06-06,pago
30,9,2023-05-16,enviado
31,127,2023-08-08,pago
32,47,2023-10-28,novo
33,39,2024-07-17,enviado
34,59,2024-04-14,novo
35,39,2024-02-17,pago
36,99,2024-07-16,novo
37,200,2024-02-18,novo
38,118,2023-08-31,enviado
39,145,2023-09-22,finalizado
40,99,2023-11-27,cancelado
41,3,2023-02-26,novo
42,17,2024-04-19,novo
43,54,2024-02-22,pago
44,49,2024-04-12,cancelado
45,169,2023-12-08,cancelado
46,169,2024-05-16,finalizado
47,171,2024-08-30,pago
48,128,2023-12-31,novo
49,112,2023-10-12,novo
50,130,2023-03-08,novo
51,82,2024-05-13,novo
52,135,2024-08-01,finalizado
53,159,2024-03-23,pago
54,153,2024-07-07,finalizado
55,123,2024-07-05,enviado
56,12,2024-05-25,enviado
57,145,2023-11-18,enviado
58,74,2023-03-05,finalizado
59,149,2023-01-03,novo
60,108,2023-05-11,novo
61,177,2023-10-03,enviado
62,68,2024-04-20,pago
63,187,2023-10-19,enviado
64,169,2023-01-15,cancelado
65,67,2023-05-15,enviado
66,97,2024-09-18,pago
67,107,2024-09-24,pago
68,154,2023-08-30,cancelado
69,138,2024-05-30,pago
70,171,2024-04-05,enviado
71,74,2024-08-19,enviado
72,101,2024-07-22,cancelado
73,87,2024-02-07,cancelado
74,182,2023-09-10,enviado
75,61,2024-02-06,pago
76,118,2023-07-24,pago
77,25,2023-08-11,enviado
78,171,2024-01-25,pago
79,77,2024-01-01,cancelado
80,69,2024-01-07,pago
81,117,2023-09-04,cancelado
82,100,2023-09-19,cancelado
83,170,2023-01-07,finalizado
84,107,2024-01-21,novo
85,104,2024-01-04,cancelado
86,21,2024-08-21,novo
87,5,2023-11-19,pago
88,80,2023-10-27,novo
89,200,2023-02-13,novo
90,184,2023-05-06,novo
91,126,2023-08-05,novo
92,127,2023-08-30,finalizado
93,79,2023-08-21,novo
94,36,2023-09-10,pago
95,2,2024-05-07,cancelado
96,68,2023-03-25,finalizado
97,64,2023-08-01,finalizado
98,39,2023-04-15,novo
99,52,2023-07-16,finalizado
100,5,2024-03-14,cancelado
101,122,2023-01-30,novo
102,186,2023-08-06,enviado
103,139,2023-01-16,finalizado
104,90,2024-09-03,pago
105,85,2024-04-10,novo
106,62,2023-06-05,finalizado
107,29,2023-05-07,finalizado
108,120,2023-03-05,finalizado
109,114,2023-10-30,finalizado
110,2,2024-04-27,finalizado
111,84,2024-01-09,enviado
112,56,2024-07-17,novo
113,35,2023-08-09,cancelado
114,141,2023-06-27,pago
115,106,2023-11-02,enviado
116,127,2023-05-10,cancelado
117,143,2024-09-16,finalizado
118,197,2023-04-29,pago
119,161,2023-11-03,pago
120,125,2023-12-01,cancelado
121,176,2023-02-06,novo
122,96,2023-10-27,enviado
123,197,2023-10-19,cancelado
124,153,2023-06-16,enviado
125,131,2023-03-23,pago
126,181,2023-01-29,finalizado
127,104,2023-01-06,pago
128,145,2023-11-05,cancelado
129,57,2023-02-27,enviado
130,193,2024-09-05,novo
131,125,2023-06-06,enviado
132,157,2024-02-22,novo
133,93,2024-03-07,finalizado
134,174,2023-11-14,cancelado
135,15,2024-07-19,pago
136,23,2023-03-12,enviado
137,102,2023-05-30,cancelado
138,147,2023-06-11,pago
139,162,2023-03-28,pago
140,89,2023-07-08,enviado
141,130,2023-07-20,pago
142,111,2024-05-04,cancelado
