payment_id,order_id,method,amount,paid_at
1,45,pix,2937.35,2023-12-17
2,78,cartao_credito,2681.99,2023-01-15
3,226,boleto,416.12,2024-06-21
4,488,voucher,2637.58,2023-03-18
5,96,pix,2519.14,2024-09-24
6,492,debito,2615.84,2023-06-25
7,2,debito,472.02,2023-08-31
8,444,voucher,368.04,2023-04-15
9,170,debito,2772.95,2024-06-07
10,577,pix,538.0,2024-04-10
11,286,boleto,1118.49,2023-02-23
12,163,voucher,1378.83,2023-03-12
13,146,voucher,390.84,2024-01-23
14,496,debito,81.49,2024-07-03
15,242,voucher,2982.39,2023-03-15
16,212,debito,2632.44,2023-05-24
17,442,pix,2738.77,2023-12-14
18,323,voucher,868.0,2023-03-14
19,399,pix,675.9,2023-07-15
20,268,cartao_credito,1289.08,2023-01-11
21,39,cartao_credito,1370.89,2023-11-15
22,4,debito,36.69,2024-03-30
23,24,pix,2342.17,2023-09-21
24,345,debito,2990.07,2023-06-15
25,309,voucher,1595.5,2023-09-29
26,449,debito,1177.01,2023-11-21
27,537,cartao_credito,1190.4,2023-04-19
28,105,voucher,306.31,2023-03-16
29,575,cartao_credito,813.16,2023-04-29
30,559,debito,1516.36,2024-09-16
31,370,boleto,1306.91,2024-04-04
32,319,pix,1644.2,2023-03-24
33,106,pix,2550.22,2023-07-13
34,107,pix,691.22,2023-09-21
35,12,voucher,102.44,2023-04-29
36,388,voucher,133.91,2024-06-24
37,260,boleto,419.82,2024-08-19
38,116,voucher,1720.04,2023-06-08
39,81,pix,2428.39,2023-01-15
40,39,voucher,2662.68,2023-06-22
41,385,cartao_credito,1912.64,2024-01-06
42,412,pix,1221.37,2024-05-28
43,379,debito,480.45,2023-08-06
44,67,cartao_credito,1216.23,2023-06-26
45,25,cartao_credito,1010.6,2023-06-10
46,64,debito,2612.68,2023-01-06
47,451,cartao_credito,1470.42,2023-01-13
48,444,debito,694.06,2023-10-01
49,177,pix,880.63,2024-01-29
50,34,pix,426.68,2023-01-12
51,192,cartao_credito,2757.38,2023-05-11
52,486,debito,170.03,2024-07-31
53,87,cartao_credito,58.28,2024-09-19
54,478,pix,565.31,2024-02-13
55,279,debito,2436.4,2023-11-29
56,85,boleto,1579.93,2024-01-07
57,561,boleto,1885.01,2023-08-26
58,312,cartao_credito,1086.04,2023-05-12
59,403,pix,224.66,2023-08-29
60,58,pix,2571.35,2024-03-20
61,223,debito,591.84,2024-02-26
62,380,pix,118.52,2024-03-06
63,388,cartao_credito,1726.66,2024-01-23
64,38,voucher,268.2,2023-02-12
65,363,cartao_credito,305.37,2024-02-03
66,567,debito,2405.12,2024-07-12
67,472,cartao_credito,1485.0,2024-02-17
68,125,voucher,739.7,2024-01-05
69,548,voucher,1058.91,2023-05-26
70,410,boleto,2193.14,2024-05-18
71,35,debito,217.74,2023-10-16
72,77,boleto,367.11,2023-06-19
73,553,voucher,1856.46,2023-11-09
74,126,cartao_credito,1828.78,2023-03-22
75,59,voucher,2917.94,2024-08-10
76,271,debito,1136.16,2024-03-22
77,316,debito,213.93,2023-07-29
78,344,cartao_credito,1621.86,2024-05-19
79,396,voucher,1922.27,2023-02-08
80,600,debito,436.02,2023-09-05
81,456,voucher,1667.53,2024-02-19
82,16,voucher,609.35,2023-01-19
83,54,pix,2537.3,2024-03-26
84,1,voucher,2508.78,2024-06-03
85,238,voucher,1300.29,2024-01-14
86,211,cartao_credito,2900.89,2023-05-14
87,561,voucher,2939.73,2024-04-20
88,220,boleto,405.17,2023-08-06
89,19,cartao_credito,1115.79,2024-04-12
90,531,cartao_credito,1808.96,2024-02-04
91,157,cartao_credito,272.82,2023-03-04
92,548,pix,1160.31,2023-03-08
93,465,debito,798.29,2023-01-14
94,529,debito,2857.11,2023-02-19
95,492,debito,1246.53,2023-07-12
96,86,boleto,2292.76,2023-01-21
97,376,cartao_credito,1172.38,2024-08-18
98,248,debito,412.8,2024-08-04
99,378,voucher,2592.19,2023-04-23
100,448,pix,21.24,2023-07-20
101,301,cartao_credito,186.7,2024-04-16
102,188,voucher,1105.87,2024-02-25
103,550,voucher,2066.96,2024-01-06
104,398,voucher,1038.28,2024-09-19
105,532,pix,217.61,2024-02-05
106,143,boleto,967.16,2024-03-01
107,503,pix,750.04,2023-11-17
108,195,voucher,36.15,2023-12-01
109,277,boleto,1613.71,2023-07-07
110,517,cartao_credito,367.6,2023-11-29
111,213,pix,876.74,2024-08-05
112,151,debito,1930.75,2023-08-30
113,550,voucher,2180.84,2023-03-29
114,579,voucher,805.1,2024-01-17
115,187,voucher,1001.0,2024-05-13
116,184,voucher,755.79,2024-08-31
117,137,debito,2871.53,2023-12-12
